start,end
35977,41922
35977,73999
35977,81075
36043,41970
36043,73535
36043,80649
36043,81626
36101,42611
36101,74075
36101,74685
36101,81158
36101,81167
36101,82193
36244,42119
36244,42732
36244,42735
36244,43415
36244,74187
36244,74795
36244,74817
36244,80763
36244,81743
36253,42119
36253,42732
36253,42735
36253,43415
36253,74187
36253,74795
36253,74817
36253,80763
36253,81743
36283,41627
36283,42119
36283,42735
36283,74187
36283,74817
36283,82284
36432,42235
36672,43697
36672,76128
36672,83253
36935,43293
36935,74075
36935,74655
36935,74685
36935,81158
36935,81167
36935,83387
36962,43293
36962,43307
36962,74075
36962,74685
36962,74714
36962,81167
36962,82193
37060,42732
37060,43385
37060,74795
37060,75372
37060,80763
37060,81743
37060,82242
37094,42735
37094,43415
37094,43431
37094,74187
37094,74817
37094,75410
37094,82284
37104,43415
37104,43431
37104,74817
37104,75410
37104,82284
37121,43431
37121,43995
37121,74855
37121,75410
37121,75437
37121,81774
37121,81795
37121,82284
37121,82698
37325,42958
37325,43608
37325,80490
37393,43646
37393,75080
37393,82836
37559,44308
37559,76219
37559,82946
37559,83324
37570,44308
37570,76219
37570,83324
37658,44380
37658,76287
37658,84056
37719,43919
37719,75849
37719,83048
37892,75954
38117,44704
38117,76128
38228,45217
38228,45222
38228,76681
38228,76685
38228,83730
38228,84049
38228,84056
38284,44857
38284,76725
38284,83767
38323,44896
38323,75849
38323,76338
38323,83048
38323,83800
38323,84600
38511,45055
38543,45443
38543,45444
38543,76565
38543,77207
38543,84228
38743,76725
38743,83767
38743,84818
38847,45656
38847,77132
38847,84640
38852,45656
38852,77132
38886,45677
38904,45688
38904,77164
38904,77430
38904,77444
38904,84675
38904,84677
38961,45443
38961,45444
38961,76565
38961,77207
38961,84228
40066,72121
40066,78614
40158,71948
40158,78478
40600,79839
40941,72994
40941,79810
40941,80139
40958,73007
40958,79839
40999,72669
41312,72955
41340,79196
41340,79796
41340,79810
41627,80763
41654,73703
41654,80394
41908,73999
41908,81075
41922,73999
41922,81075
41970,73535
41970,80649
42119,74187
42119,80763
42119,81743
42383,81981
42611,74075
42611,81158
42611,81167
42732,74795
42732,80763
42732,81743
42732,82242
42735,74795
42735,74817
42735,80763
42735,81743
42958,80490
43293,74685
43293,82193
43307,74685
43307,74714
43307,81167
43307,82193
43385,75372
43385,81743
43385,82242
43415,75410
43415,82284
43431,74855
43431,75410
43431,75437
43431,81774
43431,82284
43608,75010
43646,75080
43646,82836
43747,82946
43919,75849
43919,83048
43995,75410
43995,75437
43995,81795
43995,82284
43995,82698
44230,76128
44308,76219
44308,83324
44380,76287
44380,83387
44704,76128
44704,83253
44857,76725
44857,83767
44896,76338
44896,83800
45217,76685
45217,84049
45222,76681
45222,76685
45222,83730
45222,84049
45222,84056
45443,76565
45443,77207
45443,84228
45444,76565
45444,77207
45444,84228
45656,77132
45656,84640
45688,77164
45688,77430
45688,77444
45688,84675
45688,84677
71948,78478
72121,78614
72279,78944
72669,79537
72955,79764
72955,85788
72994,79810
72994,86321
73007,79839
73007,86079
73377,86595
73535,80649
73535,87091
73703,80394
73703,86528
73999,81075
73999,87386
74075,81158
74075,81167
74075,87439
74187,80763
74655,81626
74655,87439
74655,87834
74685,82193
74714,81672
74714,82193
74714,88713
74795,81743
74795,87914
74855,81795
74855,82284
74855,88784
74855,89156
75010,81899
75080,81981
75372,82242
75372,88750
75410,82284
75410,88784
75410,89156
75437,82698
75437,88784
75437,89156
75437,89179
75849,83048
75849,89808
75954,83118
75954,89890
76128,83253
76219,83324
76219,90352
76287,83387
76287,90120
76338,83800
76338,90700
76565,83967
76565,91034
76681,84049
76681,91116
76685,84049
76685,84056
76685,91116
76725,83767
76725,90674
77132,84640
77164,84677
77164,91221
77207,84228
77207,91034
77430,84675
77430,84677
77444,77430
77444,84675
77444,84677
79764,86013
79796,86038
79810,86321
79839,86079
79839,86087
80139,92074
80394,86528
80593,87368
80649,87091
80649,92975
80763,87504
81075,87386
81075,93260
81158,87439
81158,87834
81167,87439
81626,87818
81743,87914
81743,94004
81899,88475
81981,94829
82193,88713
82242,88750
82284,88784
82284,89156
82698,89179
82698,95037
82698,95359
82698,95370
82946,89712
83048,89808
83118,89890
83324,90352
83324,96308
83387,90120
83387,96360
83730,97010
83767,90674
83800,90700
83967,91045
84049,91116
84228,91034
86321,92054
86321,92055
86528,92485
87091,92975
87386,93260
87439,93616
87504,93349
87818,93919
87914,94004
88330,94322
88420,94730
88713,94648
88750,94669
88784,95037
88942,95176
89179,95359
89179,95370
89808,95867
90120,96360
90235,96210
90352,96308
90641,96558
90674,97034
90700,96847
92054,107824
92055,107824
92411,108359
92485,108444
92975,108881
93139,109001
93260,109365
93616,109416
94004,110004
94322,110257
94402,110340
94418,110370
94669,110886
95037,110925
95370,111469
95370,111470
95867,111929
96308,112512
96360,112570
96558,112741
108444,113252
108546,113338
108789,113819
108881,113679
109365,114346
109365,114352
109369,114352
109369,114574
109416,114389
110004,115169
110874,115970
110886,115970
110886,115974
110925,116239
111470,116784
111892,117428
111929,117463
112448,112447
