particle_id,vx,vy,vz,px,py,pz,q,nhits
968278249211691008,-0.00417844,0.00475084,-5.12884,0.648188,0.622842,-0.08784489999999999,1,14
711582416300408832,0.00357131,-0.0123055,-2.6419799999999998,-0.489983,-0.0355086,-3.90266,1,13
4518374314868736,-0.00928816,0.00986098,-0.0778789,0.123797,0.785181,3.6781900000000003,1,13
27046749092708352,-30.2403,23.7878,-218.485,-0.15659,0.198991,-1.70859,-1,10
558452813424754688,-0.000625275,0.010523200000000002,10.8337,1.02131,0.6625409999999999,0.24781799999999998,1,10
630505665818787840,0.008155899999999999,0.0035591,0.573205,-1.14535,-1.23177,8.36467,1,13
535929798766100480,-0.00598871,0.023815799999999998,5.47954,-0.290996,0.05320459999999999,0.11348399999999999,-1,10
873707742294974466,-654.686,-6.621860000000001,-442.962,-0.6926329999999999,-0.024827000000000002,-0.42088400000000004,1,5
671036962953494528,0.00214885,0.0106571,-2.2711,-0.8418700000000001,0.102052,1.66534,-1,13
680046773548351488,-0.00429976,0.00228218,1.78328,-0.8437600000000001,0.0262619,-1.8846,1,10
171141321342328834,54.8254,40.4646,570.569,-0.056905700000000004,0.14265999999999998,0.0159614,-1,1
860193095105380352,0.0133344,0.0158988,-0.279931,0.219707,0.251591,-1.59857,1,14
562957924897398786,86.29899999999999,148.184,-344.79699999999997,-0.266679,-0.145482,0.0332765,1,9
549440185331351552,-0.028429700000000002,-0.004969100000000001,2.74688,0.184602,0.11641099999999999,-0.0276874,-1,11
968275569152098304,-0.00417844,0.00475084,-5.12884,0.800077,0.227569,-4.1470199999999995,-1,11
666535356207730689,-215.709,136.726,-41.153999999999996,0.156089,-0.12031700000000001,-0.055665599999999996,1,6
328764078484889602,-239.407,-88.93,360.91,0.0556624,0.14612,-0.19320299999999999,1,5
418836826929758208,0.0183655,-0.0168648,4.19268,0.0932311,0.772569,1.6797900000000001,1,11
63054311793360896,0.0227292,0.00567583,-0.535732,-0.125004,-0.09683510000000001,0.55386,-1,8
211685331563446272,-0.021603900000000002,0.00530647,3.26302,-0.364007,0.221059,0.6801659999999999,-1,5
418843767613693954,-199.265,-17.1314,-515.695,-0.40222800000000003,0.1689,-0.011740100000000002,1,6
743098611440549888,0.0164016,0.00663854,-1.57429,1.42669,-0.172024,2.2036,1,11
968290481278550016,-39.2732,-33.4006,352.274,-0.40574299999999996,-0.543812,3.78776,-1,12
648527417312280576,-0.00627547,0.00229626,-10.127,-0.5533600000000001,-0.10931600000000001,-0.656358,1,12
914234916244291584,0.00645132,0.00558013,-11.5839,0.453849,0.552653,0.219106,-1,11
445872031150374912,0.0008363139999999999,-0.0021718,-5.04407,-0.055895900000000005,0.215862,0.49610299999999996,-1,6
225204789099626496,-28.7466,-5.32273,-102.102,-0.428766,-0.26936,-1.7914599999999998,1,13
364796036582998016,0.014919100000000001,-0.002212,-11.5247,-0.593604,-0.151538,4.92403,1,11
648519377133502464,-0.00627547,0.00229626,-10.127,-0.0760801,0.47141400000000006,-1.2636100000000001,-1,16
873711659288363008,-0.0202733,-0.00521751,2.11253,-0.47645200000000004,-0.138594,-0.613137,-1,12
517930037521956866,20.570999999999998,28.9461,-392.49199999999996,0.117118,0.0552561,-0.26298299999999997,1,1
873704375040610305,11.2561,15.3068,-376.43,-0.16935899999999998,-0.118992,-0.129244,1,12
864693945953681408,0.0126226,0.00612422,-1.50809,-0.309834,0.0583514,0.529227,-1,12
571962306636808192,-0.014568200000000002,0.00981344,3.77463,-0.226123,-0.171793,-0.410925,-1,10
707077511019765762,-309.413,-174.202,-803.0139999999999,-0.10041,-0.15538,-0.332012,-1,3
4508066393358336,-0.00928816,0.00986098,-0.0778789,3.9800699999999996,-1.96987,-1.68429,1,11
693557297552556032,0.035856599999999995,-0.00634385,7.4101,-0.102155,-0.180122,-0.274876,1,3
238697239898230785,61.393,-101.695,293.416,0.258119,-0.29499699999999995,0.401361,1,7
639523791470329856,-0.036488400000000004,-0.0130395,4.7518,0.41130900000000004,-0.33667199999999997,0.544362,-1,10
27043381838348288,-0.872699,-0.964224,-14.05,-0.21488400000000002,0.0387549,-1.04172,-1,12
117104173111050240,0.000486502,-0.00918186,0.20829499999999998,-0.15928399999999998,-0.14754,-0.348929,1,5
103586914598125568,-0.00454767,0.041050800000000005,-1.9388900000000002,0.295166,-1.79387,2.09945,1,10
103589457218764800,-0.00454767,0.041050800000000005,-1.9388900000000002,-1.37691,0.0284971,-7.04162,-1,13
220710741479522304,-10.7534,47.6544,297.014,-0.145972,0.31033299999999997,0.867908,1,10
495401456585674753,-9.54953,-16.4258,-348.546,-0.115579,0.010810700000000001,0.137215,1,1
391822788307976192,0.036001599999999995,0.0116131,-9.27233,-0.245135,0.11713399999999999,-0.363475,1,11
558452057510510592,-0.000625275,0.010523200000000002,10.8337,-0.058711400000000004,0.227456,0.182042,1,15
693555648285114368,0.035856599999999995,-0.00634385,7.4101,0.311658,-0.13546,0.00345211,-1,11
180153193504702464,-0.010003,-0.022239,11.077,0.323813,-0.472379,-0.372653,-1,12
292746688882278400,0.00917456,0.008978700000000001,11.2888,0.497288,0.606672,-2.10224,1,2
639516713364226048,-0.036488400000000004,-0.0130395,4.7518,1.17177,-1.38428,3.19611,1,11
693561145860038658,-57.8516,41.5983,288.837,0.162206,0.025934699999999998,0.09841749999999999,1,4
495400288337788928,-0.0161455,0.018690000000000002,3.77889,-0.309723,-0.105117,-0.0187444,1,12
810648551401979904,0.00336601,0.00217315,10.2654,-0.848866,0.285529,7.430739999999999,1,14
828665355093147648,0.012694200000000001,0.00870689,1.81335,0.21631999999999998,0.300429,-0.187591,1,13
